"pa","Xkm","Ykm","rec","logrec","fyear","year","fmonth","dep","gra","tem.fal","tem.sum","tem.spr","sal.fal","sal.sum","sal.spr","ppr.fal","ppr.sum","ppr.spr"
1,1821.55388409728,5059.30824572414,273.472778320312,16.5370123758892,"2007",2007,"12",-0.933625207457796,-0.186654577344166,-2.1750904778281,1.0987650497338,2.13569179940961,-1.44782259570833,-0.977385161154573,-1.01392157602764,2.59420773757142,1.37446187186907,1.4771803336224
1,1789.24693301977,5041.12058270346,21.035457611084,4.58644280582283,"2007",2007,"12",-0.652474487712263,0.501608311773789,-1.10729198868219,1.09719214889969,1.34787494218338,-0.882845070515839,-0.245802246244767,-0.135726157520942,0.78477172806739,0.434314314631494,0.142726078487246
1,1765.61172498922,4943.18568869218,2241.6259765625,47.3458126613379,"2008",2008,"10",-0.92592949500631,0.476854991513696,-0.652602100798402,1.2216486792737,1.29093114035881,-2.30654947573854,-2.28128832064047,-2.90029515653589,0.771694739952651,1.36689481765055,-0.636518584394608
1,1776.57809218846,4908.01590212813,1605.359375,40.0669361818445,"2008",2008,"10",-1.05419169538544,0.408713583733889,-1.4145246523337,1.30337584680655,1.74863523013955,-2.07151278074047,-1.81370211409758,-2.25099547967588,-0.283193335953146,1.63131659254569,0.887511028478412
1,1778.6557053374,4909.92165684106,173.516326904297,13.1725596185516,"2008",2008,"10",-0.99519105385415,0.847306643930284,-0.571578557542542,1.13143339685301,1.17290900506978,-1.49376957751744,-1.24854731407839,-1.2881590030137,0.0430154445159291,1.19485410680931,0.226180157765479
1,1872.03877616462,4835.56324012239,29.7388477325439,5.45333363480944,"2008",2008,"10",-0.954147164411274,0.117842847933737,-1.07160384727312,1.0252886477302,1.06257936247397,-0.15752773627306,-1.01608737465144,-1.20481005689896,1.32464165313027,1.20082352949154,1.2871535843737
1,1766.23182588689,4999.518333903,1446.26965332031,38.0298521338213,"2008",2008,"11",-0.884885581099359,0.531887379712978,-0.260458877704344,0.937523671950724,0.426930729735696,-1.64411238585725,-1.50071509629512,-1.7642902633849,-0.199071737664003,-0.645805681418022,-1.36703743625709
1,1765.24639610996,5030.4708163817,631.099487304688,25.1216935596446,"2008",2008,"11",-1.09010510170596,-0.393596977421529,-2.3190328119643,1.19188819814488,1.48249666243902,-1.70782090135746,-1.25867551075646,-1.69501255055078,2.32768653323331,2.34126166599607,2.30953736817434
1,1785.74535282236,4979.19747725894,433.880889892578,20.8298077257707,"2008",2008,"11",-0.410315439696592,1.35675583338132,0.668708450725114,0.227944827476016,-0.477680619116817,-0.310448822086938,-0.04887419648106,-0.0306677029459633,-1.27255464791212,-1.11874510217627,-0.975191260484289
1,1770.99454533212,4944.07653343042,68.0722198486328,8.25058906070547,"2008",2008,"10",-0.723275228192917,1.03752666581669,0.281229915386024,0.820325025200489,0.364105030126028,-0.890768494212597,-0.654479467155371,-0.793215696627253,-0.804204548411397,0.354734460716751,-0.75314059174322
1,1770.67744627532,5031.55523945401,223.916030883789,14.9638240728695,"2008",2008,"11",-0.846406920985621,-0.177546808784156,-1.63932325855141,1.10068741777667,1.02439665216761,-1.46842731258737,-0.892619733442812,-0.904698919668708,0.93294104636513,1.13186455904788,0.72487790701397
1,1787.57390559102,4901.31141017454,96.4513626098633,9.82096546220703,"2008",2008,"10",-0.887450810428497,0.850866966923272,-0.688763079484421,1.02993393206979,0.913835849000934,-1.30710793041111,-0.962600854797154,-0.844478487895603,0.468467269435788,1.0412356298975,0.0325428737626889
1,1783.90316047426,4900.42809639039,1004.83178710938,31.6990818023075,"2008",2008,"10",-1.21580206052391,0.356149880592593,-1.28277276260065,1.23269766647744,1.47800674408861,-1.72907345030408,-1.43753443181267,-1.71965211316896,0.918057740140214,1.66875831829822,1.02993738013638
