"fail.sanity","aic","sign.year","sign.fix","cross.val.ll","accuracy","sensitivity","specificity","precision"
0,602.736451309643,0,0,-1284.36322929108,0.858305951077035,0.897784410175381,0.793401193605843,0.872253237563136
3,603.015908748593,0,0,-1208.16277851241,0.846235852500913,0.878522069885003,0.79367547518883,0.869954763991224
3,603.706438334461,0,0,-1222.13554845481,0.845016429353779,0.878496901752854,0.790697899977955,0.868020186084622
