"fail.sanity","aic","sign.year","sign.fix","cross.val.ll","rmse","r2","mase"
0,2408.80002031418,0,0,-4838.61670065429,14.1002619979029,0.646521744717355,0.562429293457541
0,2410.81726875198,0,0,-4822.12388235046,14.1199587163625,0.646448443338779,0.568067822761903
2,NA,NA,NA,NA,NA,NA,NA
0,2408.20251095473,0,0,-4829.78936170067,14.2038143538875,0.637426953593167,0.562644957783857
