"fail.sanity","aic","sign.year","sign.fix","cross.val.ll","accuracy","sensitivity","specificity","precision","cov.type","random"
0,596.779038106074,6,2,-1131.34682637084,0.852267250821468,0.890954832024753,0.793020412671984,0.869337457745723,1,"spatial"
0,598.151301611119,5,2,-1128.67413533427,0.852267250821468,0.894631521662631,0.78576439504445,0.866408360764129,2,"spatial"
0,598.090762518439,6,1,-1128.4194229253,0.85469149324571,0.894750161163677,0.792662997482749,0.869855375308034,3,"spatial"
0,597.590126142274,6,2,-1130.04217071785,0.847418765972983,0.884769265014443,0.788944045282923,0.86691385020062,1,"st_iid"
0,599.071800860502,5,2,-1127.26549869393,0.852267250821468,0.890297806504173,0.791646747985626,0.869188536364055,2,"st_iid"
0,598.410663395995,6,2,-1126.23060018285,0.852267250821468,0.888791904998272,0.794587924456214,0.870858063227638,3,"st_iid"
0,586.383715034387,6,2,-1107.23851019736,0.847418765972983,0.884586275262018,0.787995197275252,0.866933374991716,1,"st_rw"
0,588.024338639402,6,2,-1105.19966688434,0.852267250821468,0.888499982783972,0.794110976920443,0.870858628499257,2,"st_rw"
0,586.851067229484,6,2,-1103.3925740777,0.849843008397225,0.888371897361769,0.787661028520031,0.867501385946269,3,"st_rw"
0,590.699351990785,5,2,-1113.35550493542,0.852245345016429,0.882388473064215,0.804280468445867,0.875112153210909,1,"st_ar1"
3,592.00701382943,5,2,-1110.61189605659,0.854669587440672,0.88630218058617,0.804280468445867,0.875611828866548,2,"st_ar1"
0,590.347679545838,5,2,-1107.68544969483,0.851025921869295,0.881795797795016,0.800771696516042,0.873148904163832,3,"st_ar1"
